time,gFx,gFy,gFz,TgF
13:44:51:2100,-0.1844,0.6769,0.7287,1.012
13:44:51:2110,-0.1942,0.6584,0.7133,0.990
13:44:51:2110,-0.2050,0.6467,0.6867,0.965
13:44:51:2120,-0.2221,0.6374,0.6530,0.939
13:44:51:2120,-0.2431,0.6193,0.6325,0.918
13:44:51:2120,-0.2572,0.5944,0.6256,0.900
13:44:51:2130,-0.2704,0.5758,0.6149,0.885
13:44:51:2130,-0.2853,0.5677,0.6000,0.874
13:44:51:2150,-0.2983,0.5682,0.5785,0.864
13:44:51:2200,-0.3129,0.5773,0.5526,0.858
13:44:51:2210,-0.3274,0.5944,0.5294,0.861
13:44:51:2230,-0.3352,0.6222,0.5025,0.867
13:44:51:2240,-0.3362,0.6611,0.4588,0.872
13:44:51:2270,-0.3337,0.7131,0.4160,0.890
13:44:51:2290,-0.3288,0.7847,0.4268,0.952
13:44:51:2320,-0.3271,0.8870,0.5142,1.076
13:44:51:2450,-0.3391,1.0048,0.6071,1.222
13:44:51:2460,-0.3545,1.0988,0.6435,1.322
13:44:51:2460,-0.3603,1.1748,0.6403,1.386
13:44:51:2460,-0.3572,1.2593,0.6322,1.454
13:44:51:2470,-0.3545,1.3263,0.6401,1.515
