time,gFx,gFy,gFz,TgF
13:44:10:4670,0.1109,0.3726,0.7607,0.854
13:44:10:4690,0.1065,0.3640,0.7554,0.845
13:44:10:4720,0.0999,0.3552,0.7546,0.840
13:44:10:4740,0.0919,0.3479,0.7576,0.839
13:44:10:4760,0.0853,0.3420,0.7644,0.842
13:44:10:4830,0.0823,0.3379,0.7730,0.848
13:44:10:4840,0.0843,0.3342,0.7857,0.858
13:44:10:4850,0.0892,0.3335,0.8037,0.875
13:44:10:4860,0.0953,0.3340,0.8238,0.894
13:44:10:4900,0.1041,0.3335,0.8428,0.912
13:44:10:4910,0.1131,0.3337,0.8585,0.928
13:44:10:4930,0.1207,0.3376,0.8694,0.940
13:44:10:5040,0.1265,0.3415,0.8778,0.950
13:44:10:5060,0.1270,0.3445,0.8863,0.959
13:44:10:5060,0.1246,0.3486,0.8929,0.967
13:44:10:5070,0.1207,0.3525,0.8997,0.974
13:44:10:5070,0.1168,0.3547,0.9066,0.980
13:44:10:5080,0.1138,0.3555,0.9112,0.985
13:44:10:5100,0.1104,0.3564,0.9164,0.989
13:44:10:5150,0.1080,0.3584,0.9186,0.992
13:44:10:5160,0.1087,0.3596,0.9115,0.986
13:44:10:5170,0.1072,0.3616,0.9019,0.978
13:44:10:5200,0.1036,0.3640,0.8934,0.970
13:44:10:5220,0.0985,0.3672,0.8807,0.959
13:44:10:5240,0.0892,0.3723,0.8694,0.950
13:44:10:5270,0.0794,0.3779,0.8614,0.944
13:44:10:5310,0.0721,0.3865,0.8550,0.941
13:44:10:5320,0.0630,0.3943,0.8482,0.937
13:44:10:5340,0.0535,0.4004,0.8387,0.931
13:44:10:5370,0.0450,0.4068,0.8284,0.924
13:44:10:5390,0.0369,0.4121,0.8113,0.911
13:44:10:5420,0.0318,0.4197,0.7886,0.894
13:44:10:5440,0.0300,0.4290,0.7676,0.880
13:44:10:5470,0.0266,0.4341,0.7500,0.867
13:44:10:5490,0.0176,0.4378,0.7348,0.856
13:44:10:5520,0.0112,0.4436,0.7207,0.846
13:44:10:5540,0.0098,0.4480,0.7119,0.841
13:44:10:5560,0.0064,0.4519,0.7097,0.841
13:44:10:5590,0.0032,0.4551,0.7104,0.844
13:44:10:5610,0.0037,0.4585,0.7077,0.843
13:44:10:5639,0.0061,0.4612,0.7067,0.844
13:44:10:5659,0.0056,0.4627,0.7099,0.847
13:44:10:5689,0.0027,0.4629,0.7116,0.849
13:44:10:5709,-0.0017,0.4605,0.7148,0.850
13:44:10:5740,-0.0076,0.4568,0.7226,0.855
13:44:10:5760,-0.0117,0.4544,0.7297,0.860
13:44:10:5840,-0.0134,0.4529,0.7322,0.861
13:44:10:5850,-0.0139,0.4512,0.7436,0.870
13:44:10:5860,-0.0137,0.4500,0.7637,0.886
13:44:10:5860,-0.0137,0.4495,0.7820,0.902
13:44:10:5880,-0.0107,0.4458,0.8023,0.918
13:44:10:5910,-0.0034,0.4402,0.8218,0.932
13:44:10:5930,0.0037,0.4363,0.8396,0.946
13:44:10:6000,0.0107,0.4322,0.8567,0.960
13:44:10:6010,0.0203,0.4285,0.8741,0.974
13:44:10:6010,0.0296,0.4270,0.8902,0.988
13:44:10:6020,0.0376,0.4263,0.9049,1.001
13:44:10:6050,0.0552,0.4312,0.9168,1.015
13:44:10:6070,0.1146,0.4539,0.9034,1.017
13:44:10:6090,0.2045,0.4888,0.8716,1.020
13:44:10:6130,0.2866,0.5216,0.8519,1.039
13:44:10:6160,0.3555,0.5497,0.8433,1.068
13:44:10:6170,0.4087,0.5741,0.8323,1.091
13:44:10:6190,0.4400,0.5946,0.8208,1.105
13:44:10:6220,0.4497,0.6088,0.8162,1.113
13:44:10:6240,0.4422,0.6186,0.8186,1.117
13:44:10:6260,0.4224,0.6259,0.8230,1.117
13:44:10:6300,0.3955,0.6261,0.8267,1.110
13:44:10:6310,0.3625,0.6188,0.8328,1.099
13:44:10:6340,0.3300,0.6076,0.8433,1.091
13:44:10:6360,0.3005,0.5939,0.8577,1.086
13:44:10:6390,0.2714,0.5792,0.8731,1.082
13:44:10:6410,0.2453,0.5619,0.8883,1.079
13:44:10:6440,0.2223,0.5414,0.9032,1.076
